Activity ID,Activity Name,Summary Description,EAA Coverage,EAA Feature Description,Centra Coverage,Centra Feature Description
7.2.1,Threat Alerting Pt1,Generate threat alerts from incident response analysis and feed them into correlation activities.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
7.2.2,Threat Alerting Pt2,Develop deviation and anomaly rules in SIEM using cyber threat intelligence data feeds.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
7.2.3,Threat Alerting Pt3,Use multiple sources to improve detection of anomalous and patterned activity.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
7.2.4,Asset ID & Alert Correlation,Correlate asset IDs and alerts to speed up incident response and improve accuracy.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
7.2.5,User/Device Baselines,Establish user and device baselines to benchmark security and detect anomalies.,Partial,User identity behavior analytics and device-based access policies,Partial,Network behavior analytics and endpoint network visibility via osquery
7.3.1,Implement Analytics Tools,Deploy analytics tools to provide actionable security insights.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
7.3.2,Establish User Baseline Behavior,Use analytics and machine learning to establish and monitor user and device behavior baselines.,Partial,User identity behavior analytics and device-based access policies,Partial,Network behavior analytics and endpoint network visibility via osquery
7.4.1,Baseline & Profiling Pt1,Integrate baseline and profiling activities to support threat detection and decision-making.,Partial,User identity behavior analytics and device-based access policies,Partial,Network behavior analytics and endpoint network visibility via osquery
7.4.2,Baseline & Profiling Pt2,Automatically prioritize risky users and devices for increased monitoring and response.,Partial,User identity behavior analytics and device-based access policies,Partial,Network behavior analytics and endpoint network visibility via osquery
7.4.3,UEBA Baseline Support Pt 1,Use machine learning to improve user and entity behavior analytics (UEBA) baselines.,Partial,User identity behavior analytics and device-based access policies,Partial,Network behavior analytics and endpoint network visibility via osquery
7.4.4,UEBA Baseline Support Pt 2,Apply advanced analytics to UEBA for more accurate detection and response.,Partial,User identity behavior analytics and device-based access policies,Partial,Network behavior analytics and endpoint network visibility via osquery
7.5.1,Cyber Threat Intelligence Program Pt1,Establish a cyber threat intelligence (CTI) program to gather and share intelligence with stakeholders.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
7.5.2,Cyber Threat Intelligence Program Pt2,Enforce CTI-driven actions and controls across all Zero Trust pillars and adapt the program as needed.,Partial,Identity and application access event logging with correlation capabilities,Partial,Network event logging and SIEM integration with threat intelligence correlation
